GID,DDP,DDP_year,DHS,DHS_year,MAT,DIAMETRE,STATUT_OBJET,LNG,age
410526700,2008-01-01T00:00:00.000Z,2008,,,FT,60,EN SERVICE,2.26,6554
410526701,2001-01-01T00:00:00.000Z,2001,,,FT,100,EN SERVICE,67.996,9110
410526702,2001-01-01T00:00:00.000Z,2001,,,FT,100,EN SERVICE,94.016,9110
410526703,2003-01-01T00:00:00.000Z,2003,,,FT,100,EN SERVICE,4.078,8380
410526704,1965-01-01T00:00:00.000Z,1965,,,FTG,200,EN SERVICE,4.513,22259
410526705,1965-01-01T00:00:00.000Z,1965,,,FTG,150,EN SERVICE,53.541,22259
410526706,1965-01-01T00:00:00.000Z,1965,,,FTG,150,EN SERVICE,39.276,22259
410526707,2009-01-01T00:00:00.000Z,2009,,,FT,200,EN SERVICE,0.952,6188
410526708,2010-01-01T00:00:00.000Z,2010,,,FT,150,EN SERVICE,2.124,5823
410526709,2001-01-01T00:00:00.000Z,2001,,,FT,200,EN SERVICE,3.59,9110
410526710,2007-01-01T00:00:00.000Z,2007,,,FT,100,EN SERVICE,2.012,6919
410526711,2012-01-01T00:00:00.000Z,2012,,,FT,100,EN SERVICE,72.679,5093
410526712,2010-01-01T00:00:00.000Z,2010,,,FT,100,EN SERVICE,5.992,5823
410526713,2010-01-01T00:00:00.000Z,2010,,,FT,100,EN SERVICE,23.384,5823
410526715,2009-01-01T00:00:00.000Z,2009,,,FT,100,EN SERVICE,2.462,6188
410526716,2010-01-01T00:00:00.000Z,2010,,,FT,150,EN SERVICE,5.975,5823
410526717,2005-01-01T00:00:00.000Z,2005,,,FT,100,EN SERVICE,2.148,7649
410526718,1965-01-01T00:00:00.000Z,1965,,,FTG,250,EN SERVICE,63.149,22259
410526999,1965-01-01T00:00:00.000Z,1965,,,FTG,200,EN SERVICE,6.369,22259
410527000,1965-01-01T00:00:00.000Z,1965,,,FTG,150,EN SERVICE,11.493,22259
410527001,1965-01-01T00:00:00.000Z,1965,,,FTG,150,EN SERVICE,4.044,22259
410527002,1965-01-01T00:00:00.000Z,1965,,,FTG,100,EN SERVICE,21.64,22259
410527003,1965-01-01T00:00:00.000Z,1965,,,FTG,200,EN SERVICE,33.168,22259
410527004,1965-01-01T00:00:00.000Z,1965,,,FTG,150,EN SERVICE,28.017,22259
410527005,1965-01-01T00:00:00.000Z,1965,,,FTG,200,EN SERVICE,38.485,22259
410527006,1965-01-01T00:00:00.000Z,1965,,,FTG,150,EN SERVICE,17.572,22259
410527007,1965-01-01T00:00:00.000Z,1965,,,FTG,200,EN SERVICE,59.2,22259
410527008,1965-01-01T00:00:00.000Z,1965,,,FTG,200,EN SERVICE,19.288,22259
410527009,1965-01-01T00:00:00.000Z,1965,,,FTG,200,EN SERVICE,12.365,22259
410527010,1965-01-01T00:00:00.000Z,1965,,,FTG,200,EN SERVICE,4.117,22259
410527011,2006-01-01T00:00:00.000Z,2006,,,FT,200,EN SERVICE,53.275,7284
410527012,1965-01-01T00:00:00.000Z,1965,,,FTG,200,EN SERVICE,16.212,22259
410527013,2010-01-01T00:00:00.000Z,2010,,,FT,150,EN SERVICE,103.808,5823
410527014,1965-01-01T00:00:00.000Z,1965,,,FTG,150,EN SERVICE,13.741,22259
410527015,1965-01-01T00:00:00.000Z,1965,,,FTG,150,EN SERVICE,8.919,22259
