GID,materiau,age_at_freeze,diametre,longueur,y_true,y_pred,y_score,prediction_type
410855269,FT,2.973305954825462,100.0,24.022,0,0,0.024439612657206487,TN
410855199,FT,5.932922655715264,150.0,16.806,0,0,0.020247565031144183,TN
410855188,PEHD,5.932922655715264,63.0,5.498,0,0,0.012001315963015177,TN
410855189,PEHD,5.932922655715264,63.0,19.217,0,0,0.002924267367729875,TN
410855200,FT,5.932922655715264,150.0,8.457,0,0,0.02966782345499037,TN
410855201,FT,5.932922655715264,150.0,7.507,0,0,0.03356678318601001,TN
410855270,FT,2.973305954825462,100.0,18.663,0,0,0.01683766272174814,TN
410842714,FT,5.4428473648186175,150.0,1.423,0,0,0.12233043380219998,TN
410842715,FT,5.4428473648186175,150.0,0.954,0,0,0.3896179076875734,TN
410842723,FT,4.591375770020534,150.0,0.825,0,0,0.05074051836899214,TN
410842717,FT,4.591375770020534,250.0,0.756,0,0,0.048706377179196965,TN
410842725,FTVI,4.621492128678987,150.0,1.584,0,0,0.012425438359215099,TN
410842719,FTVI,4.621492128678987,150.0,1.193,0,0,0.009588019745493953,TN
410842720,FTVI,4.621492128678987,150.0,10.272,0,0,0.002619349433531148,TN
410845756,FTVI,3.7727583846680357,100.0,1.897,0,0,0.13862938544479853,TN
410845776,FTVI,3.759069130732375,150.0,14.727,0,0,0.006202389989674743,TN
410842726,FTVI,4.621492128678987,150.0,15.406,0,0,0.002053270363950278,TN
410844122,FTVI,7.219712525667351,100.0,16.483,0,0,0.0008153873785839757,TN
410833004,FT,4.75564681724846,200.0,9.199,0,0,0.008639394747162892,TN
410833055,FT,54.847364818617386,150.0,189.455,0,0,0.2010854957111374,TN
410834041,FTVI,4.596851471594798,100.0,3.88,0,0,0.014157462739766686,TN
410915259,POLY,14.847364818617386,32.0,10.138,0,0,0.04280408762519455,TN
410915260,POLY,14.847364818617386,32.0,51.25,0,0,0.00866902014738702,TN
410915129,FTG,73.84804928131418,100.0,1.012,0,1,0.8433137163334782,FP
410838265,FT,4.180698151950718,150.0,40.703,0,0,0.0114120676872057,TN
410838266,FT,4.180698151950718,150.0,23.988,0,0,0.017664241779620726,TN
410838267,FT,4.180698151950718,150.0,8.996,0,0,0.021191374026161138,TN
410838268,FT,4.180698151950718,150.0,12.097,0,0,0.02289925898579166,TN
410838269,FT,4.180698151950718,150.0,7.357,0,0,0.029081813523194458,TN
410838270,FT,4.180698151950718,150.0,6.791,0,0,0.034283879838109516,TN
410829166,FT,5.878165639972622,100.0,0.76,0,0,0.11148421670602701,TN
410829196,FT,5.878165639972622,100.0,0.52,0,0,0.05646594313466199,TN
410829330,FT,5.3990417522245036,300.0,3.491,0,1,0.7471219588928038,FP
410837751,FTVI,4.0657084188911705,150.0,1.427,0,0,0.0680328477724102,TN
410838748,FTG,58.75975359342916,60.0,165.535,0,0,0.4148854704300462,TN
410840775,FTVI,3.8247775496235454,100.0,1.02,0,0,0.26254880663546204,TN
410840670,FT,57.84804928131417,100.0,23.408,0,1,0.7334610677919987,FP
410845536,FTVI,4.555783709787817,150.0,18.17,0,0,0.0022607265140265403,TN
410843903,FT,5.9575633127994525,200.0,2.131,0,0,0.06627256306414582,TN
410845581,FTVI,4.555783709787817,250.0,14.195,0,0,0.0010813224259959573,TN
410851081,FT,14.847364818617386,150.0,11.423,0,0,0.0807221330762977,TN
410851080,FT,14.847364818617386,150.0,4.793,0,0,0.3767950679583676,TN
410846633,FTVI,3.1759069130732374,100.0,6.815,0,0,0.005935150467358986,TN
410846869,FTVI,3.9452429842573578,100.0,4.93,0,0,0.036730344562329126,TN
410846870,FT,3.9452429842573578,100.0,37.401,0,0,0.16522568914700342,TN
417003766,FTG,53.84804928131417,100.0,7.788,0,0,0.19895057106032324,TN
417003768,FTG,5.577002053388091,60.0,116.671,0,0,0.0027502463265487898,TN
410829087,FT,47.84941820670773,200.0,12.679,0,0,0.024132850358222564,TN
410829076,FT,47.84941820670773,200.0,8.031,0,0,0.0274452223953693,TN
410829082,FT,47.84941820670773,200.0,14.31,0,0,0.024930900549243053,TN
410829101,INOX,5.672826830937714,200.0,11.817,0,0,0.004531063503346154,TN
410829084,FT,47.84941820670773,200.0,0.753,0,1,0.7777302823864198,FP
410829516,FTVI,5.368925393566051,150.0,0.826,0,0,0.010461634809395529,TN
410829093,FT,47.84941820670773,200.0,3.999,0,0,0.3338817364401165,TN
410829090,FT,47.84941820670773,200.0,1.771,0,1,0.512190773600553,FP
410829092,FT,47.84941820670773,200.0,9.864,0,0,0.02804935976351557,TN
410829094,FT,47.84941820670773,400.0,11.206,0,0,0.05323799546190928,TN
410830546,FT,7.526351813826146,100.0,2.491,0,0,0.14783572050453134,TN
410830552,FT,7.526351813826146,100.0,85.548,0,0,0.012978791151606812,TN
410830548,FT,7.526351813826146,100.0,107.752,0,0,0.009237579205147058,TN
410830563,FT,7.526351813826146,100.0,9.262,0,0,0.028080380000533124,TN
410830555,FT,7.526351813826146,100.0,62.007,0,0,0.006380547839394645,TN
410830557,FT,7.526351813826146,100.0,32.288,0,0,0.014780862621991464,TN
410830558,FT,7.526351813826146,100.0,29.511,0,0,0.013057316317022102,TN
410830560,FT,7.526351813826146,100.0,38.691,0,0,0.01362142236999006,TN
410830561,FT,7.526351813826146,100.0,13.422,0,0,0.009907917625538748,TN
410830562,FT,7.526351813826146,100.0,23.759,0,0,0.016917928547406435,TN
410830564,FT,7.526351813826146,100.0,28.038,0,0,0.013057316317022102,TN
410831486,FT,7.293634496919918,150.0,268.642,0,0,0.011648166361868642,TN
416004772,FT,4.621492128678987,100.0,10.519,0,0,0.0011976831165558964,TN
416004773,FT,58.847364818617386,100.0,49.0,0,1,0.6762282058709946,FP
410833334,FT,13.848049281314168,200.0,0.025,0,1,0.5359872630290248,FP
410845637,FT,3.9014373716632442,100.0,40.605,0,0,0.01013066285095287,TN
410833338,FTG,74.84736481861738,200.0,26.118,0,0,0.4942124052546916,TN
410833341,FT,4.6680355920602326,150.0,1.79,0,0,0.08726590287605464,TN
410833343,FT,4.6680355920602326,150.0,1.355,0,0,0.09324664868292415,TN
410835789,FT,52.84873374401095,125.0,2.142,0,1,0.9380022573063516,FP
416004919,FTG,63.84941820670773,100.0,2.139,0,1,0.8907445224871184,FP
416004920,FTG,63.84941820670773,100.0,80.914,0,0,0.3004594492011624,TN
410836266,FTVI,6.893908281998631,100.0,11.421,0,0,0.0016868059486430634,TN
410836260,FTVI,6.893908281998631,100.0,17.729,0,0,0.0006930283158816491,TN
410839060,FT,38.847364818617386,100.0,99.104,0,0,0.07383150945645198,TN
410836036,FT,23.849418206707735,150.0,5.291,0,0,0.15132591443661894,TN
410836037,FT,23.849418206707735,150.0,60.631,0,0,0.027702236577737058,TN
410830818,FT,5.327857631759069,150.0,3.457,0,0,0.26826223802776805,TN
410830811,FT,24.84873374401095,100.0,2.909,0,0,0.3219786550084347,TN
410856329,FT,123.8466803559206,150.0,8.036,0,0,0.0006852716661497709,TN
410830815,FT,5.078713210130048,100.0,3.505,0,0,0.1986886768144626,TN
410856330,FT,123.8466803559206,150.0,16.31,0,0,0.000921868989899762,TN
410838178,FTVI,4.076659822039699,100.0,2.97,0,0,0.020691596507325855,TN
410838172,PVC,53.84804928131417,50.0,153.9,0,0,0.02700065256290456,TN
410829016,FT,7.745379876796714,150.0,0.677,0,0,0.23092034220487856,TN
410829017,FT,7.745379876796714,150.0,11.013,0,0,0.04048120583066084,TN
410829018,FT,7.745379876796714,150.0,2.224,0,0,0.27473482193719373,TN
410829952,FT,57.84804928131417,100.0,6.17,0,1,0.7796240089994748,FP
410829020,FT,7.745379876796714,150.0,15.553,0,0,0.03071735267767049,TN
410829032,FT,7.745379876796714,150.0,13.286,0,0,0.025378472105945817,TN
410829953,FT,57.84804928131417,100.0,6.676,0,1,0.7796240089994748,FP
410829024,FTVI,7.745379876796714,150.0,11.693,0,0,0.001098484014510127,TN
410829025,FTVI,7.745379876796714,150.0,3.423,0,0,0.004025681871416343,TN
410829033,FT,7.745379876796714,150.0,8.204,0,0,0.031391555641833144,TN
410829043,FTVI,7.745379876796714,150.0,0.933,0,0,0.10483486287766593,TN
410829031,FT,7.745379876796714,150.0,4.805,0,0,0.08469811452096836,TN
410829034,FT,7.745379876796714,150.0,32.792,0,0,0.02603221973242581,TN
410829036,FTVI,7.745379876796714,150.0,7.931,0,0,0.0009515118763203304,TN
410829044,FT,7.745379876796714,150.0,0.654,0,0,0.23092034220487856,TN
410829042,FTVI,7.745379876796714,150.0,2.366,0,0,0.01860111913955088,TN
410829045,FT,7.745379876796714,150.0,1.926,0,0,0.15861815258576337,TN
416003602,FTG,58.75975359342916,60.0,79.481,0,0,0.13347116391362485,TN
410833434,FTVI,5.883641341546886,100.0,6.901,0,0,0.0012845024217630807,TN
417003846,PEHD,5.0513347022587265,110.0,108.377,0,0,0.005328190291268141,TN
416004369,ACIE,53.84804928131417,250.0,213.75,0,0,0.000938967823878644,TN
416004371,ACIE,53.84804928131417,250.0,1.184,0,0,0.058324555862603114,TN
416004372,ACIE,53.84804928131417,250.0,3.721,0,0,0.023799408541254796,TN
416004559,FT,6.379192334017796,100.0,41.528,0,0,0.0109515199073347,TN
410833435,FTVI,5.883641341546886,100.0,6.116,0,0,0.0013639898172829149,TN
410834651,FT,4.446269678302532,150.0,72.695,0,0,0.011950147646496849,TN
