GID,materiau,age_at_freeze,diametre,longueur,y_proba
410001960,FT,57.84804928131417,150.0,45.382,0.788766545948108
410001962,FT,57.84804928131417,150.0,73.974,0.6509252932330043
410001965,FT,57.84804928131417,150.0,165.867,0.5620023968288594
410001967,FT,57.84804928131417,150.0,109.161,0.5806074931658867
410001968,FT,57.84804928131417,150.0,8.623,0.7657205108610629
410002390,FT,39.84941820670773,100.0,1.87,0.8448721842110148
410002393,FT,31.849418206707735,100.0,1.792,0.742440596004067
410001554,FTG,74.84736481861738,100.0,51.912,0.6768130753832902
410001567,FTG,74.84736481861738,100.0,7.927,0.6044994686680444
410001971,FTG,74.84736481861738,150.0,6.759,0.6385801509640419
410001976,FTG,74.84736481861738,100.0,5.116,0.6405127549791764
410001979,FT,59.84941820670773,100.0,60.477,0.6828502918225948
410001981,FT,57.84804928131417,150.0,77.993,0.7035013024677204
410001985,FT,57.84804928131417,150.0,37.923,0.8321003695733618
410002411,FTG,74.84736481861738,150.0,31.766,0.6481539312398137
410002412,FTG,74.84736481861738,150.0,8.627,0.683023527006364
410002802,FT,50.847364818617386,100.0,2.692,0.8872334601254379
410002816,FT,50.847364818617386,100.0,3.869,0.7242127677048826
410001598,FTG,74.84736481861738,150.0,65.531,0.5941102364021783
410001616,FT,35.84941820670773,150.0,2.507,0.845242078591171
410001996,FT,39.84941820670773,150.0,5.349,0.6396701740170692
410001997,FTG,74.84736481861738,150.0,7.068,0.6879758719422002
410001998,FTG,74.84736481861738,150.0,10.746,0.7052323588238884
410002001,FTG,74.84736481861738,100.0,17.749,0.6017630704297205
410002007,FT,34.847364818617386,150.0,1.775,0.8362235608418879
410002439,FTG,74.84736481861738,100.0,5.72,0.6395841722140418
410002838,FT,50.847364818617386,100.0,2.999,0.8872334601254379
410002853,FTG,63.84941820670773,250.0,9.904,0.6016555785505034
410001649,FTG,74.84736481861738,250.0,77.578,0.6170471900646802
410001650,FTG,74.84736481861738,250.0,27.273,0.7768666276609492
410001651,FTG,74.84736481861738,250.0,47.436,0.7522385827619991
410001655,FTG,74.84736481861738,150.0,2.314,0.8726870494516469
410002457,FT,54.847364818617386,200.0,2.765,0.8956773165691153
410002458,FT,54.847364818617386,200.0,8.314,0.758964460549135
410002465,FTG,74.84736481861738,200.0,100.964,0.5198046190713466
410002466,FTG,74.84736481861738,200.0,17.636,0.5071573578852627
410002473,FT,54.847364818617386,200.0,20.132,0.7782649979814057
410002474,FT,54.847364818617386,200.0,4.401,0.7556825887270453
410002476,FTG,74.84736481861738,80.0,40.917,0.7807216839091501
410002478,FTG,74.84736481861738,80.0,41.715,0.7765418904568915
410002854,FTG,63.84941820670773,250.0,39.418,0.7061133244485346
410002861,FTG,74.84736481861738,80.0,32.95,0.7701178661780252
410002867,FT,34.847364818617386,150.0,6.879,0.5395491072723807
410002872,FT,36.84873374401095,100.0,4.133,0.8528470713022761
410001656,FTG,74.84736481861738,150.0,53.897,0.5248519536425992
410001663,FTG,61.84804928131417,250.0,9.057,0.8203158575896639
410001670,FTG,61.84804928131417,250.0,9.513,0.8488663454892952
410001672,FTG,74.84736481861738,100.0,20.66,0.6364225429526816
410001680,FTG,74.84736481861738,250.0,9.583,0.7877899600790904
410002479,FTG,74.84736481861738,80.0,27.321,0.7701178661780252
410002480,FT,54.847364818617386,100.0,13.018,0.764651064451465
410002481,FT,54.847364818617386,100.0,7.119,0.8215241041433232
410002483,FT,54.847364818617386,100.0,13.251,0.764651064451465
410002484,FT,54.847364818617386,80.0,24.475,0.7902941444541607
410002485,FT,54.847364818617386,60.0,15.488,0.8125315924263482
410002882,FT,34.847364818617386,100.0,1.99,0.8295647421390901
410001695,FTG,74.84736481861738,300.0,6.428,0.5004677769534539
410002094,FTG,74.84736481861738,100.0,96.482,0.5538897471721086
410002098,FTG,74.84736481861738,250.0,21.826,0.8065151494211136
410002115,FTG,74.84736481861738,250.0,70.748,0.6800203541418726
410002116,FTG,74.84736481861738,250.0,34.298,0.7917131307024602
410002117,FTG,63.84941820670773,150.0,2.869,0.8983587391645944
410002118,FTG,63.84941820670773,150.0,6.871,0.7676921369314192
410002119,FTG,63.84941820670773,80.0,15.378,0.7129607145625042
410002524,FT,29.848049281314168,80.0,1.367,0.768781056674393
410002904,FTG,63.84941820670773,250.0,113.459,0.5750889969336767
410002906,FTG,74.84736481861738,80.0,18.635,0.7599432576420861
410002917,FT,46.847364818617386,80.0,4.201,0.7041029488094865
410001704,FTG,74.84736481861738,150.0,13.524,0.6268338464090998
410001708,FTG,74.84736481861738,100.0,63.166,0.6488653188541934
410002120,FTG,74.84736481861738,250.0,45.02,0.8224122916532379
410002121,FTG,74.84736481861738,250.0,63.972,0.5711153357977722
410002129,FTG,74.84736481861738,250.0,91.2,0.6775693867826813
410002130,FTG,74.84736481861738,250.0,32.084,0.7917131307024602
410002132,FTG,74.84736481861738,100.0,30.339,0.6364225429526816
410002136,FTG,74.84736481861738,150.0,60.916,0.6415916046428446
410002147,FTG,74.84736481861738,150.0,21.7,0.7075136699820894
410002148,FTG,74.84736481861738,150.0,67.166,0.5387962897280453
410002529,FTG,61.84804928131417,250.0,85.266,0.731118505511205
410002534,FTG,74.84736481861738,100.0,1.955,0.877360316857376
410002537,FTG,74.84736481861738,100.0,3.117,0.7528130040693441
410002539,FTG,61.84804928131417,250.0,35.049,0.8647436934143921
410002540,FT,57.84804928131417,250.0,119.684,0.6837169744867967
410002541,FTG,74.84736481861738,100.0,8.426,0.6671595339421663
410002542,FTG,74.84736481861738,100.0,43.438,0.642763798570464
