GID,materiau,age_at_freeze,diametre,longueur,y_proba
410958740,FT,26.847364818617386,100.0,150.0,0.2955187777161133
410122811,FTG,58.847364818617386,150.0,80.319,0.49933048357399373
410122813,FTG,58.847364818617386,150.0,87.302,0.4930805164026348
410127547,FT,21.848049281314168,100.0,7.793,0.22337228252219885
410139982,FTG,53.84804928131417,150.0,7.778,0.23622812068564186
410140704,FT,20.84873374401095,200.0,4.561,0.39842621301543674
410140705,FT,20.84873374401095,100.0,4.762,0.2968173142988669
410503384,FT,18.847364818617386,100.0,15.6,0.06732497750725268
410503385,FT,18.847364818617386,100.0,15.6,0.06732497750725268
410509679,FT,53.84804928131417,150.0,103.496,0.3918180821587864
410514583,FT,16.84873374401095,100.0,5.803,0.3927781969021344
410514584,FT,16.84873374401095,100.0,2.947,0.4754419674789106
410518929,FT,43.84941820670773,150.0,42.754,0.32103316949600263
410521712,FTG,74.84736481861738,100.0,63.99,0.40104951010173295
410523799,FT,17.848049281314168,150.0,4.146,0.36353155290586575
410529130,PEHD,20.84873374401095,63.0,34.687,0.023675628895802305
410528999,PEHD,20.84873374401095,63.0,30.979,0.029983702215357778
410531913,PVC,53.84804928131417,110.0,167.177,0.2698046412062143
410531710,FTG,53.84804928131417,125.0,39.675,0.35867505777715114
410802468,FT,11.849418206707734,150.0,9.324,0.18946620743209555
410802619,FT,36.84873374401095,100.0,7.671,0.3871127297403442
410806956,FT,9.848049281314168,150.0,6.42,0.3109433444668508
410806958,FT,9.848049281314168,150.0,10.061,0.4238777210556401
417003255,FTG,53.84804928131417,100.0,104.243,0.3342748014132338
417003256,FTG,53.84804928131417,100.0,9.565,0.2920274138880714
417003257,FT,32.9719370294319,100.0,72.317,0.3569230173088231
413505184,FTG,73.84804928131418,100.0,20.87,0.36213701971235834
410958624,FT,38.847364818617386,150.0,175.012,0.42954759862990993
413505512,FT,15.849418206707734,150.0,17.031,0.08571021603106611
414000062,FTG,48.84873374401095,100.0,54.217,0.3379316941424341
414000063,FTG,48.84873374401095,100.0,39.33,0.2979836211864356
414502563,FT,15.849418206707734,150.0,126.936,0.06738964804637922
416500926,FT,43.84941820670773,150.0,22.506,0.29266356794025583
417000143,FTG,53.84804928131417,150.0,40.541,0.2979044243339143
416502449,FT,43.84941820670773,150.0,151.676,0.4475913920098126
417001686,FT,10.847364818617386,100.0,4.101,0.463482173604633
410812889,FTG,123.8466803559206,100.0,26.174,0.25741752565424875
